TSM_Server,Node,Server,Occ_GB,Cost,
AEPTSM01,HAMPAEPWAPP005,HAMPAEPWAPP005,137.4,Physical,$5.49
AEPTSM01,HAMPAEPWAPP007,HAMPAEPWAPP007,137.39,Physical,$5.49
AEPTSM01,HAMPAEPWAPP024,HAMPAEPWAPP024,136.93,Physical,$5.47
AEPTSM01,HAMPAEPWAPP021,HAMPAEPWAPP021,136.39,Physical,$5.45
AEPTSM01,QAEPAV5DB_DB2,qaepav5db1,136.18,Physical,$5.44
AEPTSM01,HAMPAEPWAPP027,HAMPAEPWAPP027,135.81,Physical,$5.43
AEPTSM01,HAMPAEPWAPP052,HAMPAEPWAPP052,135.32,Physical,$5.41
AEPTSM01,HAMPAEPWAPP039,HAMPAEPWAPP039,135.31,Physical,$5.41
AEPTSM01,HAMQAEPWAPP002,HAMQAEPWAPP002,135.11,Physical,$5.40
AEPTSM01,HAMPAEPWAPP022,HAMPAEPWAPP022,134.98,Physical,$5.39
AEPTSM01,HAMPAEPWAPP023,HAMPAEPWAPP023,134.61,Physical,$5.38
AEPTSM01,HAMPAEPWSQL003,HAMPAEPWSQL003,133.95,Physical,$5.35
AEPTSM01,HAMPAEPWAPP028,HAMPAEPWAPP028,133.85,Physical,$5.35
AEPTSM01,HAMPAEPWAPP020,HAMPAEPWAPP020,133.42,Physical,$5.33
AEPTSM01,HAMPAEPWAPP009,HAMPAEPWAPP009,133.41,Physical,$5.33
AEPTSM01,HAMPAEPWAPP026,HAMPAEPWAPP026,133.15,Physical,$5.32
AEPTSM01,HAMPAEPWAPP018,HAMPAEPWAPP018,132.56,Physical,$5.30
AEPTSM01,HAMPAEPWAPP014,HAMPAEPWAPP014,132.37,Physical,$5.29
AEPTSM01,HAMPAEPWAPP012,HAMPAEPWAPP012,132.13,Physical,$5.28
AEPTSM01,HAMPAEPWAPP010,HAMPAEPWAPP010,131.82,Physical,$5.27
AEPTSM01,HAMPAEPWAPP015,HAMPAEPWAPP015,131.21,Physical,$5.24
AEPTSM01,PAEPAV5DB1,paepav5db1,131,Physical,$5.24
AEPTSM01,HAMPAEPWAPP030,HAMPAEPWAPP030,130.23,Physical,$5.20
AEPTSM01,PAEP12DW1,paep12dw1,129.05,Physical,$5.16
AEPTSM01,HAMPAEPWAPP008,HAMPAEPWAPP008,128.68,Physical,$5.14
AEPTSM01,HAMPAEPWAPP054,HAMPAEPWAPP054,128.03,Physical,$5.12
AEPTSM01,HAMPAEPWAPP004,HAMPAEPWAPP004,127.98,Physical,$5.11
AEPTSM01,HAMPAEPWAPP053,HAMPAEPWAPP053,126.43,Physical,$5.05
AEPTSM01,HAMPAEPWAPP037,HAMPAEPWAPP037,126.32,Physical,$5.05
AEPTSM01,HAMPAEPWAPP047,HAMPAEPWAPP047,125.84,Physical,$5.03
AEPTSM01,HAMPAEPWAPP045,HAMPAEPWAPP045,125.74,Physical,$5.02
AEPTSM01,HAMPAEPWAPP036,HAMPAEPWAPP036,125.07,Physical,$5.00
AEPTSM01,HAMPAEPWAPP044,HAMPAEPWAPP044,125.04,Physical,$5.00
AEPTSM01,HAMPAEPWAPP033,HAMPAEPWAPP033,124.83,Physical,$4.99
AEPTSM01,QAEPAV5WAS2,qaepav5was2,124.43,Physical,$4.97
AEPTSM01,HAMPAEPWAPP050,HAMPAEPWAPP050,124.22,Physical,$4.96
AEPTSM01,HAMPAEPWAPP046,HAMPAEPWAPP046,123.4,Physical,$4.93
AEPTSM01,HAMPAEPWAPP038,HAMPAEPWAPP038,122.39,Physical,$4.89
AEPTSM01,HAMPAEPWSQL012_SQL,HAMPAEPWSQL012,122.24,Physical,$4.88
AEPTSM01,HAMPAEPWAPP035,HAMPAEPWAPP035,121.78,Physical,$4.87
AEPTSM01,PAEPAV5WAS3,paepav5was3,120.99,Physical,$4.83
AEPTSM01,PAEP2WAS1,paep2was1,120.21,Physical,$4.80
AEPTSM01,PAEPAV5WAS4,paepav5was4,120.09,Physical,$4.80
AEPTSM01,PAEP2WAS2,paep2was2,118.98,Physical,$4.75
AEPTSM01,QAEPAV5DB1,qaepav5db1,117.21,Physical,$4.68
AEPTSM01,PAEP1ND1,paep1nd1.ham.am.honda.com,116.44,Physical,$4.65
AEPTSM01,PAEPAV5DW1,paepav5dw1,115.83,Physical,$4.63
AEPTSM01,QAEP1QDB1,qaep1qdb1,114.47,Physical,$4.57
AEPTSM01,HAMPAEPWSQL001_SQL,HAMPAEPWSQL001,110.82,Physical,$4.43
AEPTSM01,QAEP5DB2,qaep5db2,109.1,Physical,$4.36
AEPTSM01,HOLD_SUSPENDED_HAMPAEPWSQL009,HAMPAEPWSQL009,106.51,Physical,$4.26
AEPTSM01,QAEPAV5WAS1,qaepav5was1,104.73,Physical,$4.18
AEPTSM01,QAEPAV5MQ2,qaepav5mq2,102.05,Physical,$4.08
AEPTSM01,QAEP2WAS2,qaep2was2,101.69,Physical,$4.06
AEPTSM01,PAEP1MQ1,paep1mq1,101.6,Physical,$4.06
AEPTSM01,QAEP1ADM1,qaep1adm1,100.59,Physical,$4.02
AEPTSM01,QAEP2WAS1,qaep2was1,100.35,Physical,$4.01
AEPTSM01,HAMPAEPWSQL002_SQL,HAMPAEPWSQL002,100.05,Physical,$4.00
AEPTSM01,PAEP11DW1,paep11dw1,98.15,Physical,$3.92
AEPTSM01,QAEP5QDB1,qaep5qdb1,97.57,Physical,$3.90
AEPTSM01,PAEP1DB1,paep1db1,95.48,Physical,$3.81
AEPTSM01,QAEP1DB2,qaep1db2,93.24,Physical,$3.72
AEPTSM01,PAEP5DB2,paep5db2,92.79,Physical,$3.71
AEPTSM01,QAEP1MQ1,qaep1mq1,92.76,Physical,$3.71
AEPTSM01,PAEP5DB1,paep5db1,92.17,Physical,$3.68
AEPTSM01,PAEPAV5DW2,paepav5dw2,91.95,Physical,$3.67
AEPTSM01,PAEP1LOG2,paep1log2,90.92,Physical,$3.63
AEPTSM01,PAEPAE4DW1,paepae4dw1,90.66,Physical,$3.62
AEPTSM01,QAEP5DB1,qaep5db1,90.3,Physical,$3.61
AEPTSM01,PAEP1QDB1,paep1qdb1.ham.am.honda.com,89.11,Physical,$3.56
AEPTSM01,PAEP12DW2,paep12dw2,87.51,Physical,$3.50
AEPTSM01,QAEP5DMGR1,qaep5dmgr1,82.14,Physical,$3.28
AEPTSM01,PAEP1MQ2,paep1mq2,81.88,Physical,$3.27
AEPTSM01,PAEPAV5DB2,paepav5db2,80.85,Physical,$3.23
AEPTSM01,PAEP11DW2,paep11dw2,80.53,Physical,$3.22
AEPTSM01,PAEP2DB2,paep2db2,79.42,Physical,$3.17
AEPTSM01,PAEP2DW1,paep2dw1,76.93,Physical,$3.07
AEPTSM01,QAEP2DB2,qaep2db2,76.52,Physical,$3.06
AEPTSM01,QAEPAV5DB2,qaepav5db2,76.39,Physical,$3.05
AEPTSM01,PAEP5ADB1,paep5adb1.ham.am.honda.com,75.19,Physical,$3.00
AEPTSM01,QAEP10DW2,qaep10dw2,74.05,Physical,$2.96
AEPTSM01,HAMPAEPWSQL016_SQL,HAMPAEPWSQL016,73.66,Physical,$2.94
AEPTSM01,QAEP10DW1,qaep10dw1,72.65,Physical,$2.90
AEPTSM01,PAEP5QDB1,paep5qdb1.ham.am.honda.com,71.78,Physical,$2.87
AEPTSM01,PAEP3DW1,paep3dw1,70.88,Physical,$2.83
AEPTSM01,QAEPAV5DMGR1,qaepav5dmgr1,70.27,Physical,$2.81
AEPTSM01,QAEP1ND1,qaep1nd1,67.66,Physical,$2.70
AEPTSM01,PAEP2DW2,paep2dw2,67.61,Physical,$2.70
AEPTSM01,PAEP2MQ1,paep2mq1,67.24,Physical,$2.68
AEPTSM01,PAEPAV5MQ1,paepav5mq1,66.56,Physical,$2.66
AEPTSM01,PAEPAV5DMGR1,paepav5dmgr1,66.03,Physical,$2.64
AEPTSM01,PAEPAV5MQ2,paepav5mq2,65.66,Physical,$2.62
AEPTSM01,PAEP2MQ2,paep2mq2,65.55,Physical,$2.62
AEPTSM01,QAEPAV5MQ1,qaepav5mq1,65.39,Physical,$2.61
AEPTSM01,D_AEPAPP03,AEPAPP03,64.63,Physical,$2.58
AEPTSM01,QAEP1DMGR1,qaep1dmgr1,64.6,Physical,$2.58
AEPTSM01,QAEP2DMGR1,qaep2dmgr1,62.88,Physical,$2.51
AEPTSM01,PAEPAV5DMGR2,paepav5dmgr2,61.6,Physical,$2.46
AEPTSM01,QAEP1LOG1,qaep1log1,61.06,Physical,$2.44
AEPTSM01,QAEP2MQ2,qaep2mq2,60.86,Physical,$2.43
AEPTSM01,PAEP1DMGR1,paep1dmgr1.ham.am.honda.com,59.04,Physical,$2.36
AEPTSM01,PAEP5DMGR1,paep5dmgr1.ham.am.honda.com,58.98,Physical,$2.35
AEPTSM01,QAEP10DW,qaep10dw2,58.67,Physical,$2.34
AEPTSM01,QAEP1LOG2,qaep1log2,58.47,Physical,$2.33
AEPTSM01,PAEP5DMGR2,paep5dmgr2.ham.am.honda.com,58.32,Physical,$2.33
AEPTSM01,PAEP2DMGR1,paep2dmgr1,56.79,Physical,$2.27
AEPTSM01,PAEP2DMGR2,paep2dmgr2,56.1,Physical,$2.24
AEPTSM01,QAEP5QDB1_DB2,qaep5qdb1,55.17,Physical,$2.20
AEPTSM01,PAEP1DMGR2,paep1dmgr2.ham.am.honda.com,53.89,Physical,$2.15
AEPTSM01,HAMPAEPWDMDC004_SQL,HAMPAEPWDMDC004,53,Physical,$2.12
AEPTSM01,PAEP3DW2,paep3dw2,52.36,Physical,$2.09
AEPTSM01,HOLD_SUSPENDED_HAMPAEPWSQL009_SQL,HAMPAEPWSQL009,50.02,Physical,$2.00
AEPTSM01,QAEP3DMGR1,qaep3dmgr1,48.11,Physical,$1.92
AEPTSM01,PAEP1ND2,paep1nd2.ham.am.honda.com,47.99,Physical,$1.91
AEPTSM01,PAEP5ADB1_DB2,paep5adb1.ham.am.honda.com,47.81,Physical,$1.91
AEPTSM01,PAEPAE4DW2,paepae4dw2,46.73,Physical,$1.86
AEPTSM01,PAEP3DMGR1,paep3dmgr1,43.53,Physical,$1.74
AEPTSM01,PAEP3DMGR2,paep3dmgr2,42.61,Physical,$1.70
AEPTSM01,HAMPAEPWALDC001_SQL,HAMPAEPWALDC001,39.37,Physical,$1.57
AEPTSM01,HAMDAEPWAPP001,HAMDAEPWAPP001,33.93,Physical,$1.35
AEPTSM01,HAMPAEPWSQL015_SQL,HAMPAEPWSQL015,33.91,Physical,$1.35
AEPTSM01,KYNPAELTSMPXY01,kynpaeltsmpxy01,32.85,Physical,$1.31
AEPTSM01,PAEPFMCDW1,paepfmcdw1,24.91,Physical,$.99
AEPTSM01,PAEPFMCDW2,paepfmcdw2,24.28,Physical,$.97
AEPTSM01,QAEP2DB_DB2,qaep2db2,10.49,Physical,$.41
AEPTSM01,M_AEPTSM01,hnapaepptsm01,9.02,Physical,$.36
AEPTSM01,QAEP1QDB1_DB2,qaep1qdb1,5.48,Physical,$.21
AEPTSM01,HAMPAEPWSQL003_SQL,HAMPAEPWSQL003,4.76,Physical,$.19
AEPTSM01,HAMPAEPWAPP032_SQL,HAMPAEPWAPP032,4.64,Physical,$.18
AEPTSM01,WD_HAMPAEPWDMDC004_SQL,HAMPAEPWDMDC004,3.98,Physical,$.15
AEPTSM01,HAMPAEPWSQL013_SQL,HAMPAEPWSQL013,1.29,Physical,$.05
AEPTSM01,HAMDAEPWSQL006_SQL,HAMDAEPWSQL006,0.02,Physical,$.00
HAITSM01,HAIODA-C_ORA,haioda2-a,22154.78,Physical,$886.19
HAITSM01,HAIPBURWSQL003_SQL,HAIPBURWSQL003,8030,Physical,$321.20
HAITSM01,HAIPBURWFILE001,HAIPBURWFILE001,4963.73,Physical,$198.54
HAITSM01,HAIPBURWSCMDP02,HAIPBURWSCMDP02,3590.43,Physical,$143.61
HAITSM01,HAIPBURWAPP010,HAIPBURWAPP010,1093.15,Physical,$43.72
HAITSM01,HAIODA1-A,haioda1-a,625.11,Physical,$25.00
HAITSM01,HAIDBURWSQL002_SQL,HAIDBURWSQL002,624.25,Physical,$24.97
HAITSM01,HAIODA2-A,haioda2-a,608.29,Physical,$24.33
HAITSM01,HAIDBURWAPP004,HAIDBURWAPP004,547.59,Physical,$21.90
HAITSM01,HAIPBURWETQ001,HAIPBURWETQ001,483.82,Physical,$19.35
HAITSM01,HAIDBURWSQL001,HAIDBURWSQL001,360.71,Physical,$14.42
HAITSM01,HAIAPP04,HAIAPP04,345.27,Physical,$13.81
HAITSM01,HAIPBURWSQL003,HAIPBURWSQL003,333.9,Physical,$13.35
HAITSM01,HAIQBURWAPP002,HAIQBURWAPP002,318.78,Physical,$12.75
HAITSM01,HAIDBURWSQL001_SQL,HAIDBURWSQL001,308.09,Physical,$12.32
HAITSM01,HAIQBURWAPP001,HAIQBURWAPP001,291.36,Physical,$11.65
HAITSM01,HAIQBURWIFS001,HAIQBURWIFS001,268.2,Physical,$10.72
HAITSM01,HAIPBURWAPP009,HAIPBURWAPP009,252.59,Physical,$10.10
HAITSM01,HAIPBURWINF002,HAIPBURWINF002,250.1,Physical,$10.00
HAITSM01,HAIPBURWSQL001,HAIPBURWSQL001,248.25,Physical,$9.93
HAITSM01,HAIPBURWIFS001,HAIPBURWIFS001,240.35,Physical,$9.61
HAITSM01,HAIPBURWSOL001,HAIPBURWSOL001,229.28,Physical,$9.17
HAITSM01,HAIPBURWAPP007,HAIPBURWAPP007,224.98,Physical,$8.99
HAITSM01,HAIDBURWSQL002,HAIDBURWSQL002,216.04,Physical,$8.64
HAITSM01,HAIDBURWIFS003,HAIDBURWIFS003,215.41,Physical,$8.61
HAITSM01,HAIPBURWAPP005,HAIPBURWAPP005,207.69,Physical,$8.30
HAITSM01,HAIPBURWADFS001,HAIPBURWADFS001,198.48,Physical,$7.93
HAITSM01,HAIPBURWAPP004,HAIPBURWAPP004,196.45,Physical,$7.85
HAITSM01,HAIPBURWADFS002,HAIPBURWADFS002,195.98,Physical,$7.83
HAITSM01,HAIDBURWAPP002A,HAIDBURWAPP002A,194.98,Physical,$7.79
HAITSM01,HAIQBURWETQ001,HAIQBURWETQ001,194.61,Physical,$7.78
HAITSM01,HAIPBURWINF001,HAIPBURWINF001,189.9,Physical,$7.59
HAITSM01,HAIDBURWIFS002,HAIDBURWIFS002,173.42,Physical,$6.93
HAITSM01,HAIDBURWETQ001,HAIDBURWETQ001,171.3,Physical,$6.85
HAITSM01,HAIPBURWNPS001,HAIPBURWNPS001,170.25,Physical,$6.81
HAITSM01,HAIDBURWAPP003,HAIDBURWAPP003,170.06,Physical,$6.80
HAITSM01,HAIPBURWAPP008,HAIPBURWAPP008,167.26,Physical,$6.69
HAITSM01,HAIPRINT02,HAIPRINT02,165.34,Physical,$6.61
HAITSM01,HAIQBURWSOL002,HAIQBURWSOL002,154.37,Physical,$6.17
HAITSM01,HAIPBURWEPO001,HAIPBURWEPO001,153.36,Physical,$6.13
HAITSM01,HAIDBURWSOL001,HAIDBURWSOL001,148.68,Physical,$5.94
HAITSM01,HAIPBURWSOL002,HAIPBURWSOL002,146.62,Physical,$5.86
HAITSM01,D_HAIPBURWAPP001,HAIPBURWAPP001,133.89,Physical,$5.35
HAITSM01,WD_HAIDBURWAPP002,HAIDBURWAPP002,130.7,Physical,$5.22
HAITSM01,HAIPBURWSQL001_SQL,HAIPBURWSQL001,130.06,Physical,$5.20
HAITSM01,D_HAIPBURWAPP002,HAIPBURWAPP002,123.31,Physical,$4.93
HAITSM01,D_HAIPBURWSQL001A,HAIPBURWSQL001A,94.2,Physical,$3.76
HAITSM01,M_HAITSM01,hnaphaiptsm01,90.86,Physical,$3.63
HAITSM01,D_HAIDBURWAPP005,HAIDBURWAPP005,82.15,Physical,$3.28
HAITSM01,D_HAIDBURWAPP006,HAIDBURWAPP006,80.38,Physical,$3.21
HAITSM01,D_HAIPBURWAPP006,HAIPBURWAPP006,79,Physical,$3.16
HAITSM01,D_HAINOTES02,HAINOTES02,78.08,Physical,$3.12
HAITSM01,D_HAIPBURWAPP003,HAIPBURWAPP003,76.12,Physical,$3.04
HAITSM01,D_HAINOTES02_DOM,HAINOTES02,66.35,Physical,$2.65
HAITSM01,WD_HAIPBURWMDTAP01,HAIPBURWMDTAP01,48.05,Physical,$1.92
HAITSM01,HAIPBURWDHCP001,HAIPBURWDHCP001,45.62,Physical,$1.82
HAITSM01,WD_HAIPBURLRMTAP01,haipburlrmtap01.amerhonda.com,15.98,Physical,$.63
HAITSM01,D_HAIPBURWSQL001A_SQL,HAIPBURWSQL001A,1.7,Physical,$.06
HDCTSM01,AIRPDB_ORA,airpdb,214061.05,Virtual,$14984.27
HDCTSM01,HAMPXWSQLV029_SQL,HAMPXWSQL029,141596.56,Virtual,$9911.75
HDCTSM01,PAHMDCLDOMA21_DOM,pahmdcldoma21,80861,Virtual,$5660.27
HDCTSM01,HDCNOTES00_DOM,HDCNOTES00,75107.55,Virtual,$5257.52
HDCTSM01,AHMPS01_DB2,ahmps01,63641.95,Virtual,$4454.93
HDCTSM01,ECRMPDB_DB2,ecrmpdb,62186.49,Virtual,$4353.05
HDCTSM01,PAHMDCLDOMA22_DOM,pahmdcldoma22,61942.88,Virtual,$4336.00
HDCTSM01,HNAPXWSCCMSQL03_SQL,HNAPXWSCCMSQL03,52167.39,Virtual,$3651.71
HDCTSM01,AHMPXWSILAPP01,AHMPXWSILAPP01,50988.83,Virtual,$3569.21
HDCTSM01,HNAPXWBOSQL01_SQL,HNAPXWBOSQL01,44932.5,Virtual,$3145.27
HDCTSM01,HNAPXLSTX01,hnapxlstx01,41592.88,Virtual,$2911.50
HDCTSM01,HFCPXWLEWSQL01_SQL,HFCPXWLEWSQL01,41403,Virtual,$2898.21
HDCTSM01,PAHMDCLDOMDB01_DB2,pahmdcldomdb01,41205.72,Virtual,$2884.40
HDCTSM01,PAHMDCLNGADB01_DB2,pahmdclngadb01,38238.7,Virtual,$2676.70
HDCTSM01,AIXORA1P_ORA,aixora1p,35908.81,Virtual,$2513.61
HDCTSM01,HAMPXWSQL015_SQL,HAMPXWSQL015,33710.92,Virtual,$2359.76
HDCTSM01,D_HNAPXLCRMSDB01_DB2,hnapxlcrmsdb01,32324.16,Virtual,$2262.69
HDCTSM01,HAMPXWSQLV035_SQL,HAMPXWSQL036,31532.52,Virtual,$2207.27
HDCTSM01,HFCPSQLV11_SQL,HFCPSQLV11,30211.34,Virtual,$2114.79
HDCTSM01,HNAPXWWEBSSQL01_SQL,HNAPXWWEBSSQL01,30138.79,Virtual,$2109.71
HDCTSM01,MMPNOTES99_DOM,MMPNOTES99,28591.46,Virtual,$2001.40
